Fecha Cierre;Número de cliente;Direccion Iquitos;Edad del cliente (en años);Género del cliente;Estado civil del cliente;Monto Ultimo Desembolso;Número de meses transcurridos desde el último desembolso;Antigüedad (número de meses) del cliente con Caja Maynas;Antigüedad (número de meses) del AdN en Caja Maynas (a la fecha de corte);Cliente aún activo en Caja Mayas (3 meses después del corte);Cliente aún activo en Caja Mayas (6 meses después del corte;Asesor de Negocios empleado en Caja Mayas (3 meses después del corte);Asesor de Negocios empleado en Caja Mayas (6 meses después del corte);Número de créditos vigentes en Caja Maynas (a la fecha de corte);Número de créditos vigentes en otras intituciones financieras (a la fecha de corte);Número de créditos adicionales en Caja Maynas (3 meses después del corte);Número de créditos adicionales en Caja Maynas (6 meses después del corte);Interés total acumulado a la fecha de corte;Asesor de Negocios empleado en Caja Mayas (3 meses antes del corte);Asesor de Negocios empleado en Caja Mayas (6 meses antes del corte);Número de créditos adicionales en Caja Maynas (3 meses antes del corte);Número de créditos adicionales en Caja Maynas (6 meses antes del corte);AdN ha cambiado?;Numero Meses de Fecha Cambio ADN
30/06/2021;1090100000141;1;64;1;0;20000;6;10;76;1;0;1;0;2;1;0;0;323.63;0;0;0;0;0;0
30/06/2021;1090100000582;1;50;1;0;15000;0;129;25;1;0;1;0;1;2;0;0;0;0;0;0;0;0;0
30/06/2021;1090100002470;1;54;1;1;17000;11;33;4;1;0;1;0;2;1;0;0;485.38;0;0;0;0;1;11
30/06/2021;1090100003778;1;59;1;1;40000;11;122;98;1;0;1;0;1;1;0;0;206.44;0;0;0;0;0;0
30/06/2021;1090100010812;1;48;0;1;8000;5;52;22;1;0;1;0;1;3;1;0;36.18;0;0;0;0;0;0
30/06/2021;1090100011401;1;60;1;0;58000;18;36;22;1;0;1;0;1;2;0;0;665.57;0;0;0;0;1;5
30/06/2021;1090100016136;1;49;1;0;3500;1;42;45;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0
30/06/2021;1090100016152;1;54;1;1;10000;2;22;7;1;0;1;0;1;2;0;0;264.37;0;0;0;0;0;0
30/06/2021;1090100017043;1;52;0;1;29000;7;21;4;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0
30/06/2021;1090100017281;1;56;0;0;150000;18;127;45;1;0;1;0;1;1;0;0;742.57;0;0;0;0;1;16
30/06/2021;1090100017345;1;68;1;0;39000;6;32;22;1;0;1;0;1;1;0;0;223.6;0;0;0;0;0;0
30/06/2021;1090100018597;1;57;1;0;2000;2;29;112;1;0;1;0;3;2;0;0;274.36;0;0;0;0;0;0
30/06/2021;1090100018791;1;58;1;0;15000;2;15;17;1;0;1;0;2;2;0;0;396.85;0;0;0;0;0;0
30/06/2021;1090100020044;1;66;1;1;26000;8;20;17;1;0;1;0;2;1;0;0;758.39;0;0;0;0;1;2
30/06/2021;1090100023183;1;64;1;1;293000;77;77;86;1;0;1;0;1;0;0;0;3303.74;0;0;0;0;1;56
30/06/2021;1090100023566;1;65;0;1;15000;25;72;86;1;0;1;0;1;1;1;0;38.26;0;0;0;0;1;10
30/06/2021;1090100023949;1;51;1;0;5100;12;12;86;1;0;1;0;1;2;0;0;14.09;0;0;0;0;0;0
30/06/2021;1090100025003;1;61;1;1;25000;7;30;32;1;0;1;0;1;1;0;0;250.46;0;0;0;0;0;0
30/06/2021;1090100026166;1;55;0;0;8400;11;12;86;1;0;1;0;2;1;1;0;106.95;0;0;0;0;0;0
30/06/2021;1090100026816;1;65;0;1;29900;3;66;25;1;0;1;0;1;1;0;0;102.16;0;0;0;0;0;0
30/06/2021;1090100028550;1;64;0;0;29900;10;59;4;1;0;1;0;1;0;0;0;155.38;0;0;0;0;0;0
30/06/2021;1090100029122;1;56;1;0;4000;2;7;17;1;0;1;0;1;1;1;0;123;0;0;0;0;1;2
30/06/2021;1090100031739;1;64;1;0;55000;16;91;86;1;0;1;0;1;1;0;0;3457.39;0;0;0;0;0;0
30/06/2021;1090100035556;1;56;0;0;11700;11;132;4;1;0;1;0;1;1;0;0;278.34;0;0;0;0;1;8
30/06/2021;1090100036676;1;49;1;1;2300;12;81;7;1;0;1;0;1;1;0;0;84.6;0;0;0;0;0;0
30/06/2021;1090100036757;1;50;0;0;7500;10;22;34;1;0;0;0;2;1;0;0;217.02;0;0;0;0;0;0
30/06/2021;1090100037206;1;65;1;1;5600;12;109;53;1;0;1;0;2;1;0;0;293.11;0;0;0;0;0;0
30/06/2021;1090100037478;1;62;1;0;200000;6;130;22;1;0;1;0;1;3;0;0;597.23;0;0;0;0;0;0
30/06/2021;1090100037907;1;73;1;0;12000;11;23;27;1;0;1;0;2;1;0;0;96.35;0;0;0;0;0;0
30/06/2021;1090100039691;1;53;0;1;160000;11;73;27;1;0;1;0;1;1;0;0;1408.41;0;0;0;0;0;0
30/06/2021;1090100040282;1;66;1;1;80000;8;74;27;1;0;1;0;1;3;0;0;800.5;0;0;0;0;0;0
30/06/2021;1090100040487;1;53;1;0;6500;9;15;7;1;0;1;0;2;1;0;0;157.56;0;0;0;0;0;0
30/06/2021;1090100040983;1;52;1;0;190000;16;106;22;1;0;1;0;1;2;1;0;1181.75;0;0;0;0;1;6
30/06/2021;1090100041041;1;63;1;0;25000;23;56;76;1;0;1;0;1;1;0;0;781.79;0;0;0;0;0;0
30/06/2021;1090100041602;1;68;1;0;20000;6;10;45;1;0;1;0;2;1;0;0;342.61;0;0;0;0;0;0
30/06/2021;1090100041645;1;60;1;1;3000;6;12;4;1;0;1;0;2;1;0;0;299.02;0;0;0;0;1;7
30/06/2021;1090100043346;1;72;0;0;100000;41;115;22;0;0;1;0;1;1;0;0;989.3;0;0;0;0;1;30
30/06/2021;1090100043516;1;66;1;0;13000;9;74;27;1;0;1;0;1;4;0;0;236.42;0;0;0;0;0;0
30/06/2021;1090100043923;1;56;0;0;18000;5;18;28;1;0;1;0;2;1;0;0;308.81;0;0;0;0;0;0
30/06/2021;1090100044407;1;62;1;0;27000;6;99;86;1;0;1;0;2;4;0;0;462.34;0;0;0;0;0;0
30/06/2021;1090100045012;1;71;1;0;30000;0;0;17;1;0;1;0;1;1;0;0;278.14;0;0;0;0;0;0
30/06/2021;1090100045276;1;50;1;0;12000;2;36;53;1;0;1;0;1;3;0;0;45.94;0;0;0;0;0;0
30/06/2021;1090100047708;1;44;0;0;5000;16;73;25;1;0;1;0;1;3;0;0;346.96;0;0;0;0;0;0
30/06/2021;1090100048046;1;65;1;1;30000;6;82;17;1;0;1;0;1;1;0;0;7.64;0;0;0;0;1;5
30/06/2021;1090100048160;1;63;1;0;39500;3;41;86;1;0;1;0;1;0;0;0;605.29;0;0;0;0;0;0
30/06/2021;1090100050199;1;55;0;1;15000;0;23;86;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0
30/06/2021;1090100050377;1;51;1;0;50000;2;57;60;1;0;1;0;2;2;0;0;1.31;0;0;0;0;0;0
30/06/2021;1090100051080;1;69;0;1;59000;32;120;39;1;0;0;0;1;1;0;0;254.61;0;0;0;0;0;0
30/06/2021;1090100053724;1;55;1;0;29000;23;73;45;1;0;1;0;1;2;0;0;399.61;0;0;0;0;0;0
30/06/2021;1090100055913;1;56;1;1;13500;11;11;53;1;0;1;0;1;1;0;0;80.61;0;0;0;0;0;0
30/06/2021;1090100056618;1;70;0;0;20000;23;65;17;1;0;1;0;1;1;0;0;161.67;0;0;0;0;0;0
30/06/2021;1090100058548;1;65;1;1;9500;0;33;60;1;0;1;0;2;2;0;0;235.98;0;0;0;0;0;0
30/06/2021;1090100061174;1;59;0;1;16400;11;43;7;1;0;1;0;2;2;0;0;528.16;0;0;0;0;0;0
30/06/2021;1090100061221;1;65;1;1;29500;17;42;34;1;0;0;0;1;2;0;0;16422.42;0;0;0;0;0;0
30/06/2021;1090100062111;1;55;1;1;25000;18;128;98;0;0;1;0;1;3;0;0;370.7;0;0;0;0;1;17
30/06/2021;1090100067661;1;60;1;0;25000;7;27;98;1;0;1;0;1;1;0;0;367.12;0;0;0;0;0;0
30/06/2021;1090100067881;1;55;1;1;3000;6;9;7;1;0;1;0;2;2;0;0;200.97;0;0;0;0;0;0
30/06/2021;1090100069698;1;61;1;1;10000;16;41;45;1;0;1;0;1;3;0;0;195.09;0;0;0;0;0;0
30/06/2021;1090100070980;1;56;1;1;5000;1;128;98;1;0;1;0;1;2;0;0;74.09;0;0;0;0;0;0
30/06/2021;1090100072036;1;56;0;0;20000;17;17;4;1;0;1;0;1;2;0;0;17.17;0;0;0;0;1;15
30/06/2021;1090100073601;1;60;1;0;38000;3;52;39;1;0;0;0;1;0;0;0;97.62;0;0;0;0;0;0
30/06/2021;1090100074713;1;57;1;1;30000;0;20;17;1;0;1;0;1;1;0;0;309.2;0;0;0;0;0;0
30/06/2021;1090100077186;1;51;1;1;26000;11;129;28;1;0;1;0;1;1;0;0;655.6;0;0;0;0;0;0
30/06/2021;1090100080373;1;76;1;0;3500;7;20;25;1;0;1;0;2;2;0;0;156.53;0;0;0;0;0;0
30/06/2021;1090100084034;1;56;1;1;10500;11;104;53;1;0;1;0;2;2;0;0;421.26;0;0;0;0;0;0
30/06/2021;1090100084433;1;66;1;0;30000;11;113;60;1;0;1;0;1;1;0;0;55.62;0;0;0;0;0;0
30/06/2021;1090100086274;1;69;1;0;55000;8;77;25;1;0;1;0;1;1;0;0;359.76;0;0;0;0;0;0
30/06/2021;1090100087548;1;63;0;1;15500;0;37;60;1;0;1;0;2;1;0;0;315.14;0;0;0;0;0;0
30/06/2021;1090100089401;1;63;1;0;7000;11;113;22;1;0;1;0;1;2;1;0;0;0;0;0;0;1;7
30/06/2021;1090100089656;1;53;1;0;120000;18;120;7;1;0;1;0;1;2;0;0;16022.59;0;0;0;0;1;9
30/06/2021;1090100089966;1;65;0;0;5500;12;104;86;1;0;1;0;2;2;0;0;91.86;0;0;0;0;0;0
30/06/2021;1090100090824;1;57;1;0;80000;30;130;27;1;0;1;0;1;1;0;0;317.03;0;0;0;0;1;17
30/06/2021;1090100091413;1;67;1;1;50000;7;131;28;1;0;1;0;1;3;1;0;94.09;0;0;0;0;0;0
30/06/2021;1090100093157;1;59;1;0;15500;7;68;4;1;0;1;0;1;1;0;0;479.09;0;0;0;0;1;5
30/06/2021;1090100094731;1;54;1;1;10000;12;16;39;1;0;0;0;1;1;0;0;61.55;0;0;0;0;0;0
30/06/2021;1090100095541;1;76;0;1;4000;7;66;3;1;0;1;0;1;3;0;0;37.48;0;0;0;0;1;5
30/06/2021;1090100096334;1;58;0;0;18000;21;21;34;1;0;0;0;1;3;0;0;1731.87;0;0;0;0;0;0
